,Bone_anatomical_info,m4
0,The Interhip Separation,171.47
1,Height of the Left Ilium (L_IH),143.72
2,Height of the Right Ilium (L_IH),140.64
3,Width of the Left Ilium (L_IW),49.66
4,Width of the Right Ilium (R_IW),37.35
5,Width of the pelvis (PW),258.64
6,The Left Hip Joint Center (L_HJC),[  78.34   28.85 -365.2 ]
7,The Right Hip Joint Center (R_HJC),[ -92.6    18.49 -356.62]
8,The Left Simplified Radius (L_SR),25.51
9,The Right Simplified Radius (R_SR),26.21
10,The Left Mean Actual Radius (L_M_AR),25.0
11,The Right Mean Actual Radius (R_M_AR),25.0
12,The Left Femur Distal Mid-point,[[ 113.85380578   26.22381225 -504.51199341]]
13,The Right Femur Distal Mid-point,[[-153.9444556    17.89248173 -504.51199341]]
14,The Visible Left Femur Length (L_VFL),167.73
15,The Visible Right Femur Length (R_VFL),184.26
16,The Left neck-shaft angle (L_NSA),126.0
17,The Right neck-shaft angle (R_NSA),120.0
