Joint_anatomical_info,Value
---------------------,-----
subject_id,m1
---------------------,-----
lHJ_bone_minimum_gap,1.89
lHJ_ac_bone_coverage_area,3381.58
lHJ_ac_average_thickness_with_gap,1.04
lHJ_ac_average_thickness_without_gap,1.16
lHJ_fc_bone_coverage_area,5630.95
lHJ_fc_average_thickness_with_gap,1.13
lHJ_fc_average_thickness_without_gap,1.25
lHJ_w_gap_minimum_distance,0.119
rHJ_ac_bone_coverage_area,2446.75
rHJ_ac_average_thickness_with_gap,1.18
rHJ_ac_average_thickness_without_gap,1.31
rHJ_fc_bone_coverage_area,5876.88
rHJ_fc_average_thickness_with_gap,1.8
rHJ_fc_average_thickness_without_gap,2.0
rHJ_w_gap_minimum_distance,0.167
lSJ_primary_bone_coverage_area,2709.9
lSJ_secondary_bone_coverage_area,2615.8
lSJ_average_thickness,5.17
rSJ_primary_bone_coverage_area,2093.6
rSJ_secondary_bone_coverage_area,2147.19
rSJ_average_thickness,5.09
PJ_primary_bone_coverage_area,475.53
PJ_secondary_bone_coverage_area,492.63
PJ_average_thickness,5.95
