Joint_anatomical_info,Value
---------------------,-----
subject_id,m6
---------------------,-----
lHJ_bone_minimum_gap,1.5
lHJ_ac_bone_coverage_area,2202.6
lHJ_ac_average_thickness_with_gap,1.28
lHJ_ac_average_thickness_without_gap,1.46
lHJ_fc_bone_coverage_area,4779.17
lHJ_fc_average_thickness_with_gap,1.26
lHJ_fc_average_thickness_without_gap,1.47
lHJ_w_gap_minimum_distance,0.041
rHJ_ac_bone_coverage_area,2213.83
rHJ_ac_average_thickness_with_gap,1.29
rHJ_ac_average_thickness_without_gap,1.43
rHJ_fc_bone_coverage_area,4883.86
rHJ_fc_average_thickness_with_gap,1.47
rHJ_fc_average_thickness_without_gap,1.63
rHJ_w_gap_minimum_distance,0.057
lSJ_primary_bone_coverage_area,1443.92
lSJ_secondary_bone_coverage_area,1563.1
lSJ_average_thickness,4.22
rSJ_primary_bone_coverage_area,1176.6
rSJ_secondary_bone_coverage_area,1276.32
rSJ_average_thickness,4.2
PJ_primary_bone_coverage_area,337.8
PJ_secondary_bone_coverage_area,309.89
PJ_average_thickness,4.88
