,Bone_anatomical_info,m9
0,The Interhip Separation,185.36
1,Height of the Left Ilium (L_IH),157.24
2,Height of the Right Ilium (L_IH),151.38
3,Width of the Left Ilium (L_IW),58.55
4,Width of the Right Ilium (R_IW),54.68
5,Width of the pelvis (PW),298.58
6,The Left Hip Joint Center (L_HJC),[  77.76 -163.41 -468.04]
7,The Right Hip Joint Center (R_HJC),[-107.23 -175.08 -467.15]
8,The Left Simplified Radius (L_SR),28.38
9,The Right Simplified Radius (R_SR),28.58
10,The Left Mean Actual Radius (L_M_AR),27.0
11,The Right Mean Actual Radius (R_M_AR),27.0
12,The Left Femur Distal Mid-point,[[ 101.53807547 -143.16150227 -547.2130127 ]]
13,The Right Femur Distal Mid-point,[[-140.86017237 -159.53103029 -547.2130127 ]]
14,The Visible Left Femur Length (L_VFL),110.55
15,The Visible Right Femur Length (R_VFL),113.15
16,The Left neck-shaft angle (L_NSA),N.A
17,The Right neck-shaft angle (R_NSA),N.A
