Joint_anatomical_info,Value
---------------------,-----
subject_id,m11
---------------------,-----
lHJ_bone_minimum_gap,1.08
lHJ_ac_bone_coverage_area,2216.62
lHJ_ac_average_thickness_with_gap,1.21
lHJ_ac_average_thickness_without_gap,1.34
lHJ_fc_bone_coverage_area,4910.22
lHJ_fc_average_thickness_with_gap,1.42
lHJ_fc_average_thickness_without_gap,1.57
lHJ_w_gap_minimum_distance,0.04
rHJ_ac_bone_coverage_area,2265.17
rHJ_ac_average_thickness_with_gap,1.13
rHJ_ac_average_thickness_without_gap,1.26
rHJ_fc_bone_coverage_area,5192.88
rHJ_fc_average_thickness_with_gap,1.11
rHJ_fc_average_thickness_without_gap,1.29
rHJ_w_gap_minimum_distance,0.083
lSJ_primary_bone_coverage_area,2231.28
lSJ_secondary_bone_coverage_area,2399.07
lSJ_average_thickness,5.07
rSJ_primary_bone_coverage_area,2259.97
rSJ_secondary_bone_coverage_area,2393.78
rSJ_average_thickness,4.86
PJ_primary_bone_coverage_area,365.42
PJ_secondary_bone_coverage_area,340.6
PJ_average_thickness,5.5
