Joint_anatomical_info,Value
---------------------,-----
subject_id,m3
---------------------,-----
lHJ_bone_minimum_gap,1.05
lHJ_ac_bone_coverage_area,2232.25
lHJ_ac_average_thickness_with_gap,1.02
lHJ_ac_average_thickness_without_gap,1.14
lHJ_fc_bone_coverage_area,4807.5
lHJ_fc_average_thickness_with_gap,1.2
lHJ_fc_average_thickness_without_gap,1.33
lHJ_w_gap_minimum_distance,0.097
rHJ_ac_bone_coverage_area,2240.48
rHJ_ac_average_thickness_with_gap,0.92
rHJ_ac_average_thickness_without_gap,1.02
rHJ_fc_bone_coverage_area,4844.46
rHJ_fc_average_thickness_with_gap,1.07
rHJ_fc_average_thickness_without_gap,1.19
rHJ_w_gap_minimum_distance,0.059
lSJ_primary_bone_coverage_area,1410.18
lSJ_secondary_bone_coverage_area,1561.14
lSJ_average_thickness,3.42
rSJ_primary_bone_coverage_area,1809.84
rSJ_secondary_bone_coverage_area,1928.98
rSJ_average_thickness,3.74
PJ_primary_bone_coverage_area,268.96
PJ_secondary_bone_coverage_area,268.58
PJ_average_thickness,4.28
