Joint_anatomical_info,Value
---------------------,-----
subject_id,m10
---------------------,-----
lHJ_bone_minimum_gap,2.31
lHJ_ac_bone_coverage_area,2182.47
lHJ_ac_average_thickness_with_gap,1.66
lHJ_ac_average_thickness_without_gap,1.85
lHJ_fc_bone_coverage_area,5067.38
lHJ_fc_average_thickness_with_gap,1.45
lHJ_fc_average_thickness_without_gap,1.61
lHJ_w_gap_minimum_distance,0.234
rHJ_ac_bone_coverage_area,2351.05
rHJ_ac_average_thickness_with_gap,1.61
rHJ_ac_average_thickness_without_gap,1.79
rHJ_fc_bone_coverage_area,4833.63
rHJ_fc_average_thickness_with_gap,1.4
rHJ_fc_average_thickness_without_gap,1.55
rHJ_w_gap_minimum_distance,0.212
lSJ_primary_bone_coverage_area,2480.23
lSJ_secondary_bone_coverage_area,2599.07
lSJ_average_thickness,6.29
rSJ_primary_bone_coverage_area,2422.83
rSJ_secondary_bone_coverage_area,2502.08
rSJ_average_thickness,6.31
PJ_primary_bone_coverage_area,559.05
PJ_secondary_bone_coverage_area,555.34
PJ_average_thickness,6.22
