Joint_anatomical_info,Value
---------------------,-----
subject_id,m9
---------------------,-----
lHJ_bone_minimum_gap,1.49
lHJ_ac_bone_coverage_area,2711.99
lHJ_ac_average_thickness_with_gap,1.47
lHJ_ac_average_thickness_without_gap,1.64
lHJ_fc_bone_coverage_area,5942.25
lHJ_fc_average_thickness_with_gap,2.25
lHJ_fc_average_thickness_without_gap,2.5
lHJ_w_gap_minimum_distance,0.114
rHJ_ac_bone_coverage_area,2926.47
rHJ_ac_average_thickness_with_gap,1.69
rHJ_ac_average_thickness_without_gap,1.88
rHJ_fc_bone_coverage_area,6279.99
rHJ_fc_average_thickness_with_gap,1.37
rHJ_fc_average_thickness_without_gap,1.52
rHJ_w_gap_minimum_distance,0.097
lSJ_primary_bone_coverage_area,2279.96
lSJ_secondary_bone_coverage_area,2410.22
lSJ_average_thickness,4.46
rSJ_primary_bone_coverage_area,2385.67
rSJ_secondary_bone_coverage_area,2544.76
rSJ_average_thickness,4.97
PJ_primary_bone_coverage_area,461.99
PJ_secondary_bone_coverage_area,494.8
PJ_average_thickness,5.56
