,Bone_anatomical_info,m5
0,The Interhip Separation,180.82
1,Height of the Left Ilium (L_IH),151.52
2,Height of the Right Ilium (L_IH),147.92
3,Width of the Left Ilium (L_IW),60.38
4,Width of the Right Ilium (R_IW),68.34
5,Width of the pelvis (PW),309.08
6,The Left Hip Joint Center (L_HJC),[  66.74   26.06 -359.47]
7,The Right Hip Joint Center (R_HJC),[-112.53    4.72 -369.62]
8,The Left Simplified Radius (L_SR),27.99
9,The Right Simplified Radius (R_SR),27.55
10,The Left Mean Actual Radius (L_M_AR),27.0
11,The Right Mean Actual Radius (R_M_AR),27.0
12,The Left Femur Distal Mid-point,[[  91.15956335   24.27614532 -532.66601562]]
13,The Right Femur Distal Mid-point,[[-128.30473202    8.61553214 -532.66601562]]
14,The Visible Left Femur Length (L_VFL),201.21
15,The Visible Right Femur Length (R_VFL),190.27
16,The Left neck-shaft angle (L_NSA),129.0
17,The Right neck-shaft angle (R_NSA),132.0
