Joint_anatomical_info,Value
---------------------,-----
subject_id,m5
---------------------,-----
lHJ_bone_minimum_gap,2.19
lHJ_ac_bone_coverage_area,2872.98
lHJ_ac_average_thickness_with_gap,1.19
lHJ_ac_average_thickness_without_gap,1.32
lHJ_fc_bone_coverage_area,5704.61
lHJ_fc_average_thickness_with_gap,1.42
lHJ_fc_average_thickness_without_gap,1.58
lHJ_w_gap_minimum_distance,0.049
rHJ_ac_bone_coverage_area,3123.27
rHJ_ac_average_thickness_with_gap,1.27
rHJ_ac_average_thickness_without_gap,1.42
rHJ_fc_bone_coverage_area,6027.66
rHJ_fc_average_thickness_with_gap,1.54
rHJ_fc_average_thickness_without_gap,1.71
rHJ_w_gap_minimum_distance,0.152
lSJ_primary_bone_coverage_area,2723.32
lSJ_secondary_bone_coverage_area,2830.6
lSJ_average_thickness,4.54
rSJ_primary_bone_coverage_area,2678.98
rSJ_secondary_bone_coverage_area,2831.47
rSJ_average_thickness,4.67
PJ_primary_bone_coverage_area,517.0
PJ_secondary_bone_coverage_area,538.5
PJ_average_thickness,5.77
