,Bone_anatomical_info,m10
0,The Interhip Separation,174.39
1,Height of the Left Ilium (L_IH),153.46
2,Height of the Right Ilium (L_IH),151.75
3,Width of the Left Ilium (L_IW),50.77
4,Width of the Right Ilium (R_IW),54.88
5,Width of the pelvis (PW),278.11
6,The Left Hip Joint Center (L_HJC),[ 116.67 -154.94 -434.36]
7,The Right Hip Joint Center (R_HJC),[ -54.81 -123.56 -429.76]
8,The Left Simplified Radius (L_SR),25.82
9,The Right Simplified Radius (R_SR),25.62
10,The Left Mean Actual Radius (L_M_AR),25.0
11,The Right Mean Actual Radius (R_M_AR),25.0
12,The Left Femur Distal Mid-point,[[ 137.66160982 -157.14647338 -498.87894911]]
13,The Right Femur Distal Mid-point,[[ -88.03380605 -128.27596469 -498.87894911]]
14,The Visible Left Femur Length (L_VFL),90.75
15,The Visible Right Femur Length (R_VFL),100.11
16,The Left neck-shaft angle (L_NSA),N.A
17,The Right neck-shaft angle (R_NSA),N.A
