,Bone_anatomical_info,m1
0,The Interhip Separation,172.62
1,Height of the Left Ilium (L_IH),153.8
2,Height of the Right Ilium (L_IH),156.57
3,Width of the Left Ilium (L_IW),56.74
4,Width of the Right Ilium (R_IW),60.99
5,Width of the pelvis (PW),290.29
6,The Left Hip Joint Center (L_HJC),[  85.96   19.63 -578.36]
7,The Right Hip Joint Center (R_HJC),[ -86.51   24.61 -583.52]
8,The Left Simplified Radius (L_SR),26.96
9,The Right Simplified Radius (R_SR),27.91
10,The Left Mean Actual Radius (L_M_AR),26.0
11,The Right Mean Actual Radius (R_M_AR),27.0
12,The Left Femur Distal Mid-point,[[ 126.83071601   25.33372216 -782.94000244]]
13,The Right Femur Distal Mid-point,[[-120.60079794   28.15702945 -782.94000244]]
14,The Visible Left Femur Length (L_VFL),233.54
15,The Visible Right Femur Length (R_VFL),228.31
16,The Left neck-shaft angle (L_NSA),136.0
17,The Right neck-shaft angle (R_NSA),134.0
