Joint_anatomical_info,Value
---------------------,-----
subject_id,m8
---------------------,-----
lHJ_bone_minimum_gap,1.76
lHJ_ac_bone_coverage_area,2865.28
lHJ_ac_average_thickness_with_gap,1.56
lHJ_ac_average_thickness_without_gap,1.73
lHJ_fc_bone_coverage_area,5233.14
lHJ_fc_average_thickness_with_gap,1.62
lHJ_fc_average_thickness_without_gap,1.79
lHJ_w_gap_minimum_distance,0.202
rHJ_ac_bone_coverage_area,3018.06
rHJ_ac_average_thickness_with_gap,1.39
rHJ_ac_average_thickness_without_gap,1.54
rHJ_fc_bone_coverage_area,5418.77
rHJ_fc_average_thickness_with_gap,1.54
rHJ_fc_average_thickness_without_gap,1.71
rHJ_w_gap_minimum_distance,0.012
lSJ_primary_bone_coverage_area,2686.6
lSJ_secondary_bone_coverage_area,2650.14
lSJ_average_thickness,5.01
rSJ_primary_bone_coverage_area,2281.46
rSJ_secondary_bone_coverage_area,2453.91
rSJ_average_thickness,5.67
PJ_primary_bone_coverage_area,351.36
PJ_secondary_bone_coverage_area,353.73
PJ_average_thickness,6.13
